Last metadata expiration check: 20:51:34 ago on Tue 12 Aug 2025 02:29:57 PM EDT.
Dependencies resolved.
==========================================================================================================================================================
 Package                                    Architecture          Version                                           Repository                       Size
==========================================================================================================================================================
Installing:
 libwbclient                                x86_64                4.19.4-9.el8_10                                   rhel08-baseos                   130 k
 libwebp                                    x86_64                1.0.0-11.el8_10                                   rhel08-appstream                274 k
 libxml2                                    x86_64                2.9.7-21.el8_10.3                                 rhel08-baseos                   697 k
 libxml2-devel                              x86_64                2.9.7-21.el8_10.3                                 rhel08-appstream                1.0 M
 libxslt                                    x86_64                1.1.32-6.2.el8_10                                 rhel08-baseos                   250 k
 linux-firmware                             noarch                20250626-131.gitb05fabcd.el8_10                   rhel08-baseos                   529 M
 lz4-libs                                   x86_64                1.8.3-5.el8_10                                    rhel08-baseos                    66 k
 motif                                      x86_64                2.3.4-23.el8_10                                   rhel08-appstream                1.5 M
 nfs-utils                                  x86_64                1:2.3.3-64.el8_10                                 rhel08-baseos                   515 k
 pam                                        x86_64                1.3.1-37.el8_10                                   rhel08-baseos                   748 k
 pam-devel                                  x86_64                1.3.1-37.el8_10                                   rhel08-baseos                   212 k
 perl                                       x86_64                4:5.26.3-423.el8_10                               rhel08-appstream                 73 k
 perl-Attribute-Handlers                    noarch                0.99-423.el8_10                                   rhel08-appstream                 89 k
 perl-CPAN                                  noarch                2.18-402.el8_10                                   rhel08-appstream                575 k
 perl-Devel-Peek                            x86_64                1.26-423.el8_10                                   rhel08-appstream                 94 k
 perl-Devel-SelfStubber                     noarch                1.06-423.el8_10                                   rhel08-appstream                 76 k
 perl-Errno                                 x86_64                1.28-423.el8_10                                   rhel08-baseos                    77 k
 perl-ExtUtils-Embed                        noarch                1.34-423.el8_10                                   rhel08-appstream                 80 k
 perl-ExtUtils-Miniperl                     noarch                1.06-423.el8_10                                   rhel08-appstream                 77 k
 perl-Git                                   noarch                2.43.7-1.el8_10                                   rhel08-appstream                 79 k
