X Y Bandwidth Latency Iter HostX HostY
6 6 10225.60 0.13 0 p-sc-2107 p-sc-2107
6 7 6975.26 0.76 1 p-sc-2107 p-sc-2108
6 8 8016.96 0.75 14 p-sc-2107 p-sc-2109
6 9 7643.60 0.76 15 p-sc-2107 p-sc-2110
6 10 7806.07 0.78 12 p-sc-2107 p-sc-2111
6 11 7866.52 0.73 13 p-sc-2107 p-sc-2112
6 12 7976.83 0.74 10 p-sc-2107 p-sc-2113
6 13 7702.63 0.78 11 p-sc-2107 p-sc-2114
6 14 7939.11 0.74 8 p-sc-2107 p-sc-2115
6 15 7662.02 0.76 9 p-sc-2107 p-sc-2116

7 0 7439.04 0.74 7 p-sc-2108 p-sc-2101
7 1 7243.45 0.76 6 p-sc-2108 p-sc-2102
7 2 7520.68 0.76 5 p-sc-2108 p-sc-2103
7 3 7474.60 0.75 4 p-sc-2108 p-sc-2104
7 4 7128.62 0.76 3 p-sc-2108 p-sc-2105
7 5 6994.22 0.74 2 p-sc-2108 p-sc-2106
7 6 6985.47 0.76 1 p-sc-2108 p-sc-2107
7 7 9417.30 0.13 0 p-sc-2108 p-sc-2108
7 8 7915.54 0.75 15 p-sc-2108 p-sc-2109
7 9 7618.07 0.74 14 p-sc-2108 p-sc-2110
7 10 7737.77 0.76 13 p-sc-2108 p-sc-2111
7 11 7860.38 0.74 12 p-sc-2108 p-sc-2112
7 12 7739.38 0.75 11 p-sc-2108 p-sc-2113
7 13 7687.70 0.76 10 p-sc-2108 p-sc-2114
7 14 7671.71 0.76 9 p-sc-2108 p-sc-2115
7 15 7852.50 0.74 8 p-sc-2108 p-sc-2116

8 0 7329.10 0.75 8 p-sc-2109 p-sc-2101
8 1 7479.41 0.75 9 p-sc-2109 p-sc-2102
8 2 7653.53 0.76 10 p-sc-2109 p-sc-2103
8 3 7850.81 0.75 11 p-sc-2109 p-sc-2104
8 4 7683.34 0.75 12 p-sc-2109 p-sc-2105
8 5 7724.26 0.75 13 p-sc-2109 p-sc-2106
8 6 8013.82 0.75 14 p-sc-2109 p-sc-2107
8 7 7915.07 0.75 15 p-sc-2109 p-sc-2108
8 8 10096.56 0.15 0 p-sc-2109 p-sc-2109
8 9 6810.85 0.77 1 p-sc-2109 p-sc-2110
8 10 7145.65 0.75 2 p-sc-2109 p-sc-2111
8 11 7427.49 0.75 3 p-sc-2109 p-sc-2112
